,logradouro,bairro,localidade,uf,ibge,gia,ddd,siafi,nome_arquivo,data_arquivo,ccep,cep_loc,ccep_compl
64,Estrada G,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642670,07642,670
65,Estrada K,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642630,07642,630
66,Estrada A,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642650,07642,650
67,Estrada H,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642620,07642,620
68,Estrada L,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642560,07642,560
69,Estrada B,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642640,07642,640
70,Estrada E,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642660,07642,660
71,Estrada I,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642610,07642,610
72,Estrada M,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642520,07642,520
73,Estrada C,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642730,07642,730
74,Estrada F,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642680,07642,680
75,Estrada J,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642600,07642,600
76,Estrada M2,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642510,07642,510
77,Estrada Um,Jundiaizinho (Terra Preta),Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07664270,07664,270
78,Estrada M1,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642530,07642,530
79,Estrada Doze,Luiz Fagundes,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07626403,07626,403
80,Estrada Tupi,Rio Acima,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07632590,07632,590
81,Estrada Dois,Jundiaizinho (Terra Preta),Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07664275,07664,275
82,Estrada Mirante,Jundiaizinho (Terra Preta),Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07663180,07663,180
83,Estrada do Mimi,Mato Dentro,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07657305,07657,305
84,Estrada Fragoso,Roseira,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07619626,07619,626
85,Estrada Laramara,Corumbá (Terra Preta),Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07666280,07666,280
86,Estrada do Clube,Invernada,Mairiporã,SP,3528502,4339,11,6671,resultado_concat_20240501_162447.txt,20240501_162447,07642580,07642,580
