codigo;modelo
5668;{'codigo': 5668, 'nome': 'Fiesta SE 1.6 16V Flex 5p'}
6427;{'codigo': 6427, 'nome': 'Fiesta SE 1.6 8V Flex 5p'}
8148;{'codigo': 8148, 'nome': 'Fiesta SE Plus 1.6 16V Flex Aut. 5p'}
8008;{'codigo': 8008, 'nome': 'Fiesta SE Plus Direct 1.6 16V Flex Aut.'}
7753;{'codigo': 7753, 'nome': 'Fiesta SE Style 1.6 16V Flex Mec. 5p'}
785;{'codigo': 785, 'nome': 'Fiesta Sed. 1.6 8V Flex 4p'}
786;{'codigo': 786, 'nome': 'Fiesta Sed. Personnalité 1.0 8V 4p'}
787;{'codigo': 787, 'nome': 'Fiesta Sed. Supercharger 1.0 8V 4p'}
6523;{'codigo': 6523, 'nome': 'Fiesta Sed. TI./TI.Plus1.6 16V Flex Aut.'}
4136;{'codigo': 4136, 'nome': 'Fiesta Sedan 1.0 8V Flex 4p'}
6521;{'codigo': 6521, 'nome': 'Fiesta Sedan 1.6 16V Flex Aut.'}
6522;{'codigo': 6522, 'nome': 'Fiesta Sedan 1.6 16V Flex Mec.'}
6428;{'codigo': 6428, 'nome': 'Fiesta Sedan S 1.0 8V Flex 4p'}
6429;{'codigo': 6429, 'nome': 'Fiesta Sedan SE 1.0 8V Flex 4p'}
5345;{'codigo': 5345, 'nome': 'Fiesta Sedan SE 1.6 16V Flex 4p'}
6430;{'codigo': 6430, 'nome': 'Fiesta Sedan SE 1.6 8V Flex 4p'}
8047;{'codigo': 8047, 'nome': 'Fiesta Sedan SEL 1.6 16V Flex Aut.'}
8048;{'codigo': 8048, 'nome': 'Fiesta Sedan SEL 1.6 16V Flex Mec.'}
788;{'codigo': 788, 'nome': 'Fiesta Sedan Street 1.0 8v 4p'}
789;{'codigo': 789, 'nome': 'Fiesta Sedan Street 1.6 8v 4p'}
6524;{'codigo': 6524, 'nome': 'Fiesta Sedan TITANIUM 1.6 16V Flex Mec'}
8009;{'codigo': 8009, 'nome': 'Fiesta SEL 1.0 12V EcoBoost Aut. 5p'}
7659;{'codigo': 7659, 'nome': 'Fiesta SEL 1.6 16V Flex  Aut. 5p'}
7660;{'codigo': 7660, 'nome': 'Fiesta SEL 1.6 16V Flex Mec. 5p'}
8177;{'codigo': 8177, 'nome': 'Fiesta SEL Style 1.0 EcoBoost Aut . 5p'}
7754;{'codigo': 7754, 'nome': 'Fiesta SEL Style 1.6 16V Flex Mec. 5p'}
790;{'codigo': 790, 'nome': 'Fiesta Sport 1.0MPi 4p'}
7184;{'codigo': 7184, 'nome': 'Fiesta Sport 1.6 16V Flex Mec.'}
791;{'codigo': 791, 'nome': 'Fiesta Sport 1.6MPi 4p'}
792;{'codigo': 792, 'nome': 'Fiesta Street 1.0 8v 3p'}
793;{'codigo': 793, 'nome': 'Fiesta Street 1.6 8v 95cv 5p'}
794;{'codigo': 794, 'nome': 'Fiesta Street/ Action 1.0 8v 5p'}
795;{'codigo': 795, 'nome': 'Fiesta Supercharger 1.0 8V 95cv 5p'}
6431;{'codigo': 6431, 'nome': 'Fiesta TIT./TIT.Plus 1.6 16V Flex Aut.'}
7661;{'codigo': 7661, 'nome': 'Fiesta TIT.Plus 1.0 12V EcoBoost Aut. 5p'}
6432;{'codigo': 6432, 'nome': 'Fiesta TITANIUM 1.6 16V Flex Mec.'}
4409;{'codigo': 4409, 'nome': 'Fiesta TRAIL 1.0 8V Flex 5p'}
4410;{'codigo': 4410, 'nome': 'Fiesta TRAIL 1.6 8V Flex 5p'}
6610;{'codigo': 6610, 'nome': 'Focus 1.6 S/1.6 SE Flex 16v 5p Aut'}
796;{'codigo': 796, 'nome': 'Focus 1.6 S/SE/SE Plus Flex 8V/16V  5p'}
797;{'codigo': 797, 'nome': 'Focus 1.8 16V 5p'}
798;{'codigo': 798, 'nome': 'Focus 2.0 16V/ 2.0 16V Flex 5p'}
799;{'codigo': 799, 'nome': 'Focus 2.0 16V/SE/SE Plus Flex 5p Aut.'}
7284;{'codigo': 7284, 'nome': 'Focus Fastback SE/SE PLUS 2.0 Flex Aut.'}
7285;{'codigo': 7285, 'nome': 'Focus Fastback TIT./T.PLUS 2.0 Flex Aut.'}
800;{'codigo': 800, 'nome': 'Focus Ghia  2.0 16V/ 2.0 16V Flex 5p Aut'}
801;{'codigo': 801, 'nome': 'Focus Ghia Sed. 2.0 16V/ 2.0 16V Flex 4p'}
802;{'codigo': 802, 'nome': 'Focus Ghia Sed. 2.0 16V/2.0 16V Flex Aut'}
803;{'codigo': 803, 'nome': 'Focus Ghia/ XR 2.0 /Ghia 2.0 16V Flex 5p'}
5450;{'codigo': 5450, 'nome': 'Focus Sed. TI./TI.Plus 2.0 16V Flex  Aut'}
7687;{'codigo': 7687, 'nome': 'Focus Sedan 1.6 16V Flex 4p Aut.'}
804;{'codigo': 804, 'nome': 'Focus Sedan 1.6/1.6 Flex 8V/16V 4p Mec.'}
805;{'codigo': 805, 'nome': 'Focus Sedan 1.8 16V 115cv 4p'}
806;{'codigo': 806, 'nome': 'Focus Sedan 2.0 16V/2.0 16V Flex 4p'}
807;{'codigo': 807, 'nome': 'Focus Sedan 2.0 16V/2.0 16V Flex 4p Aut.'}
5451;{'codigo': 5451, 'nome': 'Focus TITA/TITA Plus 2.0  Flex 5p Aut.'}
5452;{'codigo': 5452, 'nome': 'Focus TITANIUM 2.0 16V Flex 5p Mec.'}
808;{'codigo': 808, 'nome': 'Furglaine 3.6'}
809;{'codigo': 809, 'nome': 'Furglaine 3.9 Diesel'}
810;{'codigo': 810, 'nome': 'Furglaine Chateaux/Exec. 3.9 Diesel'}
10006;{'codigo': 10006, 'nome': 'Fusion 2.5 16V 193cv Aut. (Híbrido)'}
6381;{'codigo': 6381, 'nome': 'Fusion 2.5L I-VCT Flex Aut.'}
7826;{'codigo': 7826, 'nome': 'Fusion SE 2.5 I-VCT Flex 16V Aut.'}
7755;{'codigo': 7755, 'nome': 'Fusion SEL 2.0 Ecobo. 16V 248cv Aut.'}
4061;{'codigo': 4061, 'nome': 'Fusion SEL 2.3 16V  162cv Aut.'}
4922;{'codigo': 4922, 'nome': 'Fusion SEL 2.5 16V 173cv Aut.'}
5622;{'codigo': 5622, 'nome': 'Fusion SEL 3.0 V6  24V 243cv Aut.'}
4923;{'codigo': 4923, 'nome': 'Fusion SEL 3.0 V6 AWD 24V 243cv Aut.'}
10007;{'codigo': 10007, 'nome': 'Fusion Titanium 2.0 145cv Aut. (Híbrido)'}
6324;{'codigo': 6324, 'nome': 'Fusion Titanium 2.0 GTDI Eco. Awd Aut.'}
6382;{'codigo': 6382, 'nome': 'Fusion Titanium 2.0 GTDI Eco. Fwd Aut.'}
811;{'codigo': 811, 'nome': 'Ibiza 3.9 Furgão Diesel'}
812;{'codigo': 812, 'nome': 'Ibiza Chat./Exec. 3.9 Diesel'}
4514;{'codigo': 4514, 'nome': 'Ka 1.0 8V/1.0 8V ST Flex 3p'}
8744;{'codigo': 8744, 'nome': 'Ka 1.0 FREESTYLE 12V Flex 5p Mec.'}
8149;{'codigo': 8149, 'nome': 'Ka 1.0 S TiVCT Flex 5p'}
6915;{'codigo': 6915, 'nome': 'Ka 1.0 SE/SE Plus TiVCT Flex 5p'}
6914;{'codigo': 6914, 'nome': 'Ka 1.0 SEL TiVCT Flex 5p'}
8122;{'codigo': 8122, 'nome': 'Ka 1.0 TECNO 12V Flex 5p'}
4789;{'codigo': 4789, 'nome': 'Ka 1.0 TECNO 8V Flex 3p'}
813;{'codigo': 813, 'nome': 'Ka 1.0i 3p'}
8745;{'codigo': 8745, 'nome': 'Ka 1.5 100 Anos Flex 5p Aut.'}
8401;{'codigo': 8401, 'nome': 'Ka 1.5 FreeStyle 12V Flex 5p Aut.'}
8402;{'codigo': 8402, 'nome': 'Ka 1.5 FreeStyle 12V Flex 5p Mec.'}
8440;{'codigo': 8440, 'nome': 'Ka 1.5 SE 12V Flex 5p Aut.'}
8441;{'codigo': 8441, 'nome': 'Ka 1.5 SE 12V Flex 5p Mec.'}
8442;{'codigo': 8442, 'nome': 'Ka 1.5 SE Plus 12V Flex 5p Aut.'}
8443;{'codigo': 8443, 'nome': 'Ka 1.5 SE Plus 12V Flex 5p Mec.'}
6916;{'codigo': 6916, 'nome': 'Ka 1.5 SE/SE PLUS 16V Flex 5p'}
8444;{'codigo': 8444, 'nome': 'Ka 1.5 Sedan SE 12V Flex 4p Aut.'}
8445;{'codigo': 8445, 'nome': 'Ka 1.5 Sedan SE 12V Flex 4p Mec.'}
8446;{'codigo': 8446, 'nome': 'Ka 1.5 Sedan SE Plus 12V Flex 4p Aut.'}
8447;{'codigo': 8447, 'nome': 'Ka 1.5 Sedan SE Plus 12V Flex 4p Mec.'}
8746;{'codigo': 8746, 'nome': 'Ka 1.5 Sedan SEL 12V Flex 4p Aut.'}
8448;{'codigo': 8448, 'nome': 'Ka 1.5 Sedan SEL 12V Flex 4p Mec.'}
8403;{'codigo': 8403, 'nome': 'Ka 1.5 Sedan TITANIUM 12V Flex 4p Aut.'}
8449;{'codigo': 8449, 'nome': 'Ka 1.5 TITANIUM 12V Flex 5p Aut.'}
4515;{'codigo': 4515, 'nome': 'Ka 1.6 8V Flex 3p'}
4790;{'codigo': 4790, 'nome': 'Ka 1.6 TECNO 8V Flex 3p'}
814;{'codigo': 814, 'nome': 'Ka Action 1.6 MPI 8V 95cv'}
815;{'codigo': 815, 'nome': 'Ka Black 1.0 MPI 8v 65cv'}
816;{'codigo': 816, 'nome': 'Ka Black 1.6 MPI 8v 95cv'}
817;{'codigo': 817, 'nome': 'Ka CLX 1.3i 3p'}
818;{'codigo': 818, 'nome': 'Ka GL 1.0i Zetec Rocam'}
819;{'codigo': 819, 'nome': 'Ka GL Image 1.0i/ 1.0i Zetec Rocam'}
820;{'codigo': 820, 'nome': 'Ka Image 1.0i'}
3887;{'codigo': 3887, 'nome': 'Ka MP3 1.0 MPI 8V 65cv'}
3888;{'codigo': 3888, 'nome': 'Ka MP3 1.6 MPI 8V 95cv'}
6917;{'codigo': 6917, 'nome': 'Ka SEL 1.5 16V Flex 5p'}
5623;{'codigo': 5623, 'nome': 'Ka Sport 1.6 8V Flex 3p'}
821;{'codigo': 821, 'nome': 'Ka Street 1.0i'}
822;{'codigo': 822, 'nome': 'Ka Tecno 1.0i 8v Zetec Rocam'}
7905;{'codigo': 7905, 'nome': 'Ka TRAIL 1.0 12V Flex Mec. 5p'}
7904;{'codigo': 7904, 'nome': 'Ka TRAIL 1.5 16V Flex Mec. 5p'}
823;{'codigo': 823, 'nome': 'Ka XR 1.6 MPI 8V'}
6919;{'codigo': 6919, 'nome': 'Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p'}
6918;{'codigo': 6918, 'nome': 'Ka+ Sedan 1.0 SEL TiCVT Flex 4p'}
8123;{'codigo': 8123, 'nome': 'Ka+ Sedan 1.5 ADVANCED 16V Flex 4p'}
6920;{'codigo': 6920, 'nome': 'Ka+ Sedan 1.5 SE/SE PLUS 16V Flex 4p'}
6921;{'codigo': 6921, 'nome': 'Ka+ Sedan 1.5 SEL 16V Flex 4p'}
9744;{'codigo': 9744, 'nome': 'Maverick Lariat FX4 2.0 EcoBoost Aut.'}
10758;{'codigo': 10758, 'nome': 'Maverick Lariat Hybrid 2.5 Aut.'}
824;{'codigo': 824, 'nome': 'Mondeo CLX 1.8 4p e 5p'}
825;{'codigo': 825, 'nome': 'Mondeo CLX 1.8i SW'}
826;{'codigo': 826, 'nome': 'Mondeo CLX 2.0i 4p Aut'}
827;{'codigo': 827, 'nome': 'Mondeo CLX 2.0i 4p Mec'}
828;{'codigo': 828, 'nome': 'Mondeo CLX 2.0i SW Aut'}
829;{'codigo': 829, 'nome': 'Mondeo CLX 2.0i SW Mec'}
830;{'codigo': 830, 'nome': 'Mondeo Ghia 2.0 16V 143cv 4p Aut'}
