codigo;nome;id
8316;Ranger XLS 2.2 4x2 CD Diesel Aut.;22
8049;Ranger XLS 2.2 4x2 CD Diesel Mec.;22
7590;Ranger XLS 2.2 4x4 CD Diesel Aut.;22
6693;Ranger XLS 2.2 4x4 CD Diesel Mec.;22
875;Ranger XLS 2.3 16V 145cv/150cv 4x2 CD;22
876;Ranger XLS 2.3 16V 145cv/150cv 4x2 CS;22
6165;Ranger XLS 2.5 16V 4x2 CD Flex;22
6166;Ranger XLS 2.5 16V 4x2 CS Flex;22
877;Ranger XLS 2.8 8V 135cv 4x2 CD TB Diesel;22
878;Ranger XLS 2.8 8V 135cv 4x2 CS TB Diesel;22
879;Ranger XLS 2.8 8V 135cv 4x4 CS TB Diesel;22
880;Ranger XLS 2.8/2.8 Storm  4x4 CD TB Dies;22
881;Ranger XLS 3.0 PSE 163cv 4x2 CD TB Dies.;22
882;Ranger XLS 3.0 PSE 163cv 4x2 CS TB Dies.;22
883;Ranger XLS 3.0 PSE 163cv 4x4 CD TB Dies.;22
4848;Ranger XLS 3.0 PSE Storm 4x4 CD TB Dies.;22
10831;Ranger XLS 3.0 V6 4x4 CD Diesel Aut. ;22
6562;Ranger XLS 3.2 20V 4x4 CD Diesel Aut.;22
6167;Ranger XLS 3.2 20V 4x4 CD Diesel Mec.;22
6168;Ranger XLS 3.2 20V 4x4 CS Diesel;22
4474;Ranger XLS SPORT 2.3 16V 150cv CS;22
4291;Ranger XLT 2.3 16V 150cv CD Repower.;22
884;Ranger XLT 2.3 CS;22
6169;Ranger XLT 2.5 16V 4x2 CD Flex;22
885;Ranger XLT 2.5 4x2 CD Diesel;22
886;Ranger XLT 2.5 4x2 CE Diesel;22
887;Ranger XLT 2.5 4x2 CS Diesel;22
888;Ranger XLT 2.5 4x4 CD Diesel;22
889;Ranger XLT 2.5 4x4 CE TB Diesel;22
890;Ranger XLT 2.5 4x4 CS TB Diesel;22
891;Ranger XLT 2.8 8v 135cv 4x2 CD TB Diesel;22
892;Ranger XLT 2.8 8v 135cv 4x4 CD TB Diesel;22
893;Ranger XLT 2.8 8v 135cv 4x4 CE TB Diesel;22
894;Ranger XLT 3.0 PSE 163cv 4x2 CD TB Dies.;22
895;Ranger XLT 3.0 PSE 163cv 4x4 CD TB Dies.;22
10763;Ranger XLT 3.0 V6 4x4 CD TB  Die. Aut.;22
